dataset,Dataset,,,general,DATA_TYPE
raster,Raster,,,geospatial,DATA_TYPE
vector,Vector,,,geospatial,DATA_TYPE
table,Table,,,dataset,DATA_TYPE
geospatial,Geospatial,,,dataset,DATA_TYPE
frequency,Frequency,,,general,FREQUENCY
daily,Daily,,,frequency,FREQUENCY
near_real_time,Near Real Time,,,frequency,FREQUENCY
weekly,Weekly,,,frequency,FREQUENCY
monthly,Monthly,,,frequency,FREQUENCY
annual,Annual,,,frequency,FREQUENCY
hourly,Hourly,,,frequency,FREQUENCY
not_updated,Not Updated,,,frequency,FREQUENCY
subscribable,Subscribable,,,frequency,FREQUENCY
continent,Continent,,,global,GEOGRAPHY
antarctica,Antarctica,,ATA,continent,GEOGRAPHY
territory,Territory,,,global,GEOGRAPHY
global,Global,,,location,GEOGRAPHY
overseas_territory,Overseas Territory,,,territory,GEOGRAPHY
crown_dependency,Crown Dependency,,,uk,GEOGRAPHY
unincorporated_territory,Unincorporated Territory,,,usa,GEOGRAPHY
autonomous_territory,Autonomous Territory,,,territory,GEOGRAPHY
country,Country,,,global,GEOGRAPHY
admin1,Admin1,,,country,GEOGRAPHY
europe,Europe,,,continent,GEOGRAPHY
north_america,North America,,,continent,GEOGRAPHY
south_america,South America,,,continent,GEOGRAPHY
oceania,Oceania,,,continent,GEOGRAPHY
africa,Africa,,,continent,GEOGRAPHY
asia,Asia,,,continent,GEOGRAPHY
european_free_trade_association,European Free Trade Association,,,europe,GEOGRAPHY
schengen_area,Schengen Area,,,europe,GEOGRAPHY
eu,EU,European Union,,europe,GEOGRAPHY
oecd,OECD,Organisation for Economic Co-operation and Development,,affiliation,GEOGRAPHY
spain,Spain,,ESP,eu,GEOGRAPHY
portugal,Portugal,,PRT,eu,GEOGRAPHY
germany,Germany,,DEU,eu,GEOGRAPHY
uk,United Kingdom,,GBR,europe,GEOGRAPHY
italy,Italy,,iTA,eu,GEOGRAPHY
ireland,Ireland,,IRL,eu,GEOGRAPHY
malta,Malta,,MLT,eu,GEOGRAPHY
belgium,Belgium,,BEL,eu,GEOGRAPHY
austria,Austria,,AUT,eu,GEOGRAPHY
latvia,Latvia,,LVA,eu,GEOGRAPHY
bulgaria,Bulgaria,,,eu,GEOGRAPHY
lithuania,Lithuania,,LTU,eu,GEOGRAPHY
luxembourg,Luxembourg,,LUX,eu,GEOGRAPHY
croatia,Croatia,,HRV,eu,GEOGRAPHY
cyprus,Cyprus,,CYP,eu,GEOGRAPHY
czech_republic,Czech Republic,,CZE,eu,GEOGRAPHY
netherlands,Netherlands,,NLD,eu,GEOGRAPHY
denmark,Denmark,,DNK,eu,GEOGRAPHY
poland,Poland,,POL,eu,GEOGRAPHY
estonia,Estonia,,EST,eu,GEOGRAPHY
finland,Finland,,FIN,eu,GEOGRAPHY
slovakia,Slovakia,,SVK,eu,GEOGRAPHY
romania,Romania,,ROU,eu,GEOGRAPHY
slovenia,Slovenia,,SVN,eu,GEOGRAPHY
greece,Greece,,GRC,eu,GEOGRAPHY
hungary,Hungary,,HUN,eu,GEOGRAPHY
sweden,Sweden,,SWE,eu,GEOGRAPHY
france,France,,FRA,eu,GEOGRAPHY
afghanistan,Afghanistan,,AFG,asia,GEOGRAPHY
aland,Aland,,ALA,finland,GEOGRAPHY
albania,Albania,,ALB,europe,GEOGRAPHY
algeria,Algeria,,DZA,africa,GEOGRAPHY
american_samoa,American Samoa,,ASM,oceania,GEOGRAPHY
andorra,Andorra,,AND,europe,GEOGRAPHY
angola,Angola,,AGO,africa,GEOGRAPHY
anguilla,Anguilla,,AIA,north_america,GEOGRAPHY
antigua_and_barbuda,Antigua and Barbuda,,ATG,north_america,GEOGRAPHY
argentina,Argentina,,ARG,south_america,GEOGRAPHY
armenia,Armenia,,ARM,asia,GEOGRAPHY
aruba,Aruba,,ABW,south_america,GEOGRAPHY
australia,Australia,,AUS,oceania,GEOGRAPHY
azerbaijan,Azerbaijan,,AZE,asia,GEOGRAPHY
bahamas,Bahamas,,BHS,north_america,GEOGRAPHY
bahrain,Bahrain,,BHR,asia,GEOGRAPHY
bangladesh,Bangladesh,,BGD,asia,GEOGRAPHY
barbados,Barbados,,BRB,north_america,GEOGRAPHY
belarus,Belarus,,BLR,europe,GEOGRAPHY
belize,Belize,,BLZ,north_america,GEOGRAPHY
benin,Benin,,BEN,africa,GEOGRAPHY
bermuda,Bermuda,,BMU,uk,GEOGRAPHY
bhutan,Bhutan,,BTN,asia,GEOGRAPHY
bolivia,Bolivia,,BOL,south_america,GEOGRAPHY
bosnia_and_herzegovina,Bosnia and Herzegovina,,BIH,europe,GEOGRAPHY
botswana,Botswana,,BWA,africa,GEOGRAPHY
brazil,Brazil,,BRA,south_america,GEOGRAPHY
british_indian_ocean_territory,British Indian Ocean Territory,,IOT,uk,GEOGRAPHY
brunei,Brunei,,BRN,asia,GEOGRAPHY
burkina_faso,Burkina Faso,,BGR,africa,GEOGRAPHY
burundi,Burundi,,BDI,africa,GEOGRAPHY
cambodia,Cambodia,,KHM,asia,GEOGRAPHY
cameroon,Cameroon,,CMR,africa,GEOGRAPHY
canada,Canada,,CAN,north_america,GEOGRAPHY
cape_verde,Cape_Verde,,CPV,africa,GEOGRAPHY
cayman_islands,Cayman Islands,,CYM,uk,GEOGRAPHY
central_african_republic,Central African Republic,,CAF,africa,GEOGRAPHY
chad,Chad,,TCD,africa,GEOGRAPHY
chile,Chile,,CHL,south_america,GEOGRAPHY
china,China,,CHN,asia,GEOGRAPHY
colombia,Colombia,,COL,south_america,GEOGRAPHY
comoros,Comoros,,COM,africa,GEOGRAPHY
congo,Congo,,COG,africa,GEOGRAPHY
democratic_republic_of_congo,Democratic Republic of the Congo,,COD,africa,GEOGRAPHY
cook_islands,Cook islands,,COK,oceania,GEOGRAPHY
costa_rica,Costa Rica,,CRI,north_america,GEOGRAPHY
ivory_coast,Ivory Coast,,CIV,africa,GEOGRAPHY
cuba,Cuba,,CUB,north_america,GEOGRAPHY
curacao,Curaçao,,CUW,netherlands,GEOGRAPHY
djibouti,Djibouti,,DJI,africa,GEOGRAPHY
dominica,Dominica,,DMA,north_america,GEOGRAPHY
dominican_republic,Dominican Republic,,DOM,north_america,GEOGRAPHY
ecuador,Ecuador,,ECU,south_america,GEOGRAPHY
egypt,Egypt,,EGY,africa,GEOGRAPHY
el_salvador,El Salvador,,SLV,north_america,GEOGRAPHY
equatorial_guinea,Equatorial Guinea,,GNQ,africa,GEOGRAPHY
eritrea,Eritrea,,ERI,africa,GEOGRAPHY
ethiopia,Ethiopia,,ETH,africa,GEOGRAPHY
