63976c45-d991-4495-a318-45950912510a,Pop. at risk of hunger,1c9a1e4f-455b-4c03-ac88-dd2242a2e4b1
c29b190b-6801-49ed-a101-6770525467c4,Kcal per capita,ccdaede2-5343-49d6-8ea9-769528c3ab92
b8e135d2-b64f-4ea3-93e9-9f8d1245fb2a,Net trade,bc60a695-ab95-4264-8058-bd61d13c4918
0699ced2-960f-4f06-8792-62f6c34b4e39,Food Demand,76f53ba4-b1d9-4385-8bab-f56aa707d961
efafaa9f-37ec-4f51-be7d-999f58e6823b,Food Production,0eb7ef57-037b-4356-8902-04a39cf4bd24
59d07525-b7ab-4cea-96b8-2abb839a4f12,One Crop,b7bf012f-4b8b-4478-b5c9-6af3075ca1e4
e2f3245a-ec38-4d1e-a3c9-bb7fb6dc8e0d,Indicator layers,276fb86b-dcb0-4fc4-a61e-a7f9368e2e0b
b2e42fee-f73c-4557-9fa7-d174a2b135dc,Predefined weights layers,7e097d4e-ea62-4a3d-80d4-35aed21f9c4a
22c9c1bc-fc40-4c85-ae70-a7c837c126f2,VIIRS Active Fires(Visible Infrared Imaging Radiometer Suite) (pulse),20cc5eca-8c63-4c41-8e8e-134dcf1e6d76
d0e35d92-3669-4bc2-b5d6-58b456fbf847,Global Flood Detection System (JRC, Dartmouth Flood Observatory) (pulse),63e29bc8-c341-44a4-bc0e-1d3dc1714c13
d00508d5-365a-4689-8b3d-026d86b4a974,GDELT Project Data,b3059ff9-0054-4343-a7ac-d7a821d222cd
9d295f2e-7626-4ed2-9e77-1e13356eaef7,Natural Resource Protection and Child Health Indicators, 2015 Release (2010 – 2015) (CIESIN),21ac3cd2-9c19-47c7-ad18-4bcad118870f
53e9aad0-68e1-4d35-bfa7-5ef590738fbb,Biodiversity Hotspots,4458eb12-8572-45d1-bf07-d5a3ee097021
0ac7bf69-388a-48b0-a869-c3240031c4bf,Acute Food Insecurity (WAITING FOR FEWS) (pulse),223b936e-06b8-4970-abd9-4f123904d95d
fa233f5c-c0c6-4281-94bd-00ebbe4ab290,Climate impacts on global hotspots of marine biodiversity (biodiversity hotspots),16df8ada-87cc-4907-adce-a98bc4e91856
